"NAME","STATE_NAME","POP2000","POP00_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","HISPANIC","OTHER","MULT_RACE","MALES","FEMALES","AGE_UNDER5","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_84","AGE_85_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS07","AVG_SIZE07","CROP_ACR07","AVG_SALE07","SQMI"
"Lake of the Woods","Minnesota",4522,2.500000,4045,2.300000,3874,14,28,33,0,35,13,83,2068,1977,209,224,206,248,137,349,413,747,691,448,260,113,48.400000,48.400000,48.500000,1784,2.240000,304,228,292,678,45,73,1144,2.770000,3672,1888,1479,305,225.000000,431.000000,58265.000000,32.950000,1775.210000
"Ferry","Washington",7260,3.200000,7551,3.300000,5758,26,1259,52,8,254,89,359,3905,3646,388,376,430,543,402,652,741,1152,1439,900,375,153,47.300000,46.700000,47.800000,3190,2.290000,499,409,416,1155,131,198,2070,2.750000,4403,1213,2295,895,232.000000,3230.000000,14842.000000,12.560000,2257.300000
"Stevens","Washington",40066,15.800000,43531,17.100000,38923,145,2413,237,68,1185,289,1456,21782,21749,2310,2756,3244,3205,1675,3707,4853,6975,7290,4714,2052,750,45.000000,44.600000,45.400000,17316,2.500000,2137,2115,3397,6351,558,1057,12143,2.950000,21156,3840,13481,3835,1258.000000,422.000000,88344.000000,19.500000,2540.750000
"Okanogan","Washington",39564,7.400000,41120,7.700000,30399,159,4675,237,31,7227,4163,1456,20750,20370,2805,2531,2616,2673,2022,4302,4555,5999,6547,4184,2103,783,42.900000,42.100000,43.800000,16519,2.450000,2397,2222,2944,5261,612,1217,10914,2.960000,22245,5726,11300,5219,1662.000000,725.000000,127148.000000,125.610000,5314.960000
"Pend Oreille","Washington",11732,8.200000,13001,9.100000,11907,52,488,73,16,391,91,374,6593,6408,698,696,868,791,488,1044,1374,2137,2420,1541,687,257,47.700000,47.500000,47.900000,5479,2.350000,847,697,892,1978,166,346,3628,2.840000,7936,2457,4225,1254,316.000000,174.000000,19041.000000,8.920000,1425.220000
"Boundary","Idaho",9871,7.700000,10972,8.600000,10398,29,189,62,6,402,58,230,5549,5423,687,742,855,744,415,1127,1198,1611,1761,1086,533,213,42.700000,42.200000,43.200000,4421,2.470000,624,590,917,1515,140,225,2976,3.000000,5175,754,3393,1028,373.000000,197.000000,43163.000000,81.030000,1277.910000
"Lincoln","Montana",18837,5.100000,19687,5.400000,18881,23,182,60,9,462,71,461,9998,9689,950,1055,1108,1180,706,1772,1951,3250,3675,2552,1118,370,48.900000,48.900000,48.900000,8843,2.200000,1455,1249,1353,3243,219,435,5608,2.720000,11413,2570,6736,2107,350.000000,148.000000,16570.000000,7.730000,3675.080000
"Flathead","Montana",74471,14.200000,90928,17.300000,86802,201,1028,531,58,2070,384,1924,45276,45652,5750,5842,5908,5910,4567,10839,10903,14430,13676,7476,4027,1600,41.200000,40.300000,42.000000,37504,2.400000,4852,5352,7547,12241,1187,2164,24817,2.910000,46963,9459,26537,10967,1094.000000,230.000000,88547.000000,30.640000,5256.400000
"Glacier","Montana",13247,4.400000,13399,4.400000,4165,17,8795,26,1,241,23,372,6555,6844,1230,1203,1115,1115,911,1599,1437,2007,1368,796,451,167,31.800000,30.800000,32.900000,4361,2.910000,550,537,969,896,296,633,3088,3.490000,5348,987,2658,1703,625.000000,2720.000000,552364.000000,88.670000,3037.020000
"Toole","Montana",5267,2.700000,5324,2.700000,4896,29,241,23,1,129,31,103,2966,2358,282,261,334,348,300,706,678,918,758,373,226,140,41.400000,39.900000,43.900000,2015,2.260000,348,344,373,630,63,105,1246,2.880000,2336,321,1352,663,428.000000,2605.000000,725052.000000,111.510000,1945.860000
