State,"2011
pop.","2010
pop.","July 2008
pop.1","July 2007
pop.1","July 2006
pop.1","July 2004
pop.","Pop. rank, 2004","Percent change,
1990–2000","Pop. per
sq mi, 2000",2000 pop.,"Pop. rank, 2000",1990 pop.,1950 pop.,1900 pop.,1790 pop.
Alabama,4802740,4779735,4627851,4661900,4599000,4530182,23,10.1%,87.6,4447100,23,4040587,3061743,1828697,—
Alaska,722718,710231,686293,683478,670000,655435,47,14,1.1,626932,48,550043,128643,63592,—
Arizona,6482505,6329013,6500180,6338755,6166000,5743834,18,40,45.2,5130632,20,3665228,749587,122931,—
Arkansas,2937979,2915921,2855390,2834797,2811000,2752629,32,13.7,51.3,2673400,33,2350725,1909511,1311564,—
California,37691912,37253956,36756666,36553215,36458000,35893799,1,13.8,217.2,33871648,1,29760021,10586223,1485053,—
Colorado,5116796,5029196,4861515,4939456,4753000,4601403,22,30.6,41.5,4301261,24,3294394,1325089,539700,—
Connecticut,3580709,3574097,3574097,3502309,3505000,3503604,29,3.6,702.9,3405565,29,3287116,2007280,908420,237946
Delaware,907135,897934,873092,864764,853000,830364,45,17.6,401,783600,45,666168,318085,184735,59096
DC,617996,601723,591833,588292,582000,553523,—,–5.7,9378,572059,—,606900,802178,278718,—
Florida,19057542,18801311,18328340,18251243,18090000,17397161,4,23.5,296.4,15982378,4,12937926,2771305,528542,—
Georgia,9815210,9687653,9685744,9544750,9364000,8829383,9,26.4,141.4,8186453,10,6478216,3444578,2216331,82548
Hawaii,1374810,1360301,1288198,1283388,1285000,1262840,42,9.3,188.6,1211537,42,1108229,499794,154001,—
Idaho,1584985,1567582,1523816,1499402,1466000,1393262,39,28.5,15.6,1293953,39,1006749,588637,161772,—
Illinois,12869257,12830632,12901563,12852548,12832000,12713634,5,8.6,223.4,12419293,5,11430602,8712176,4821550,—
Indiana,6516922,6483800,6376792,6345289,6314000,6237569,14,9.7,169.5,6080485,14,5544159,3934224,2516462,—
Iowa,3062309,3046350,3002555,2988046,2982000,2954451,30,5.4,52.4,2926324,30,2776755,2621073,2231853,—
Kansas,2871238,2853118,2802134,2775997,2764000,2735502,33,8.5,32.9,2688418,32,2477574,1905299,1470495,—
Kentucky,4369356,4339362,4269245,4241474,4206000,4145922,26,9.7,101.7,4041769,25,3685296,2944806,2147174,73677
Louisiana,4574836,4533372,4410796,4293204,4288000,4515770,24,5.9,102.6,4468976,22,4219973,2683516,1381625,—
Maine,1328188,1328361,1316456,1317207,1322000,1317253,40,3.8,41.3,1274923,40,1227928,913774,694466,96540
Maryland,5828289,5773552,5633597,5618344,5616000,5558058,19,10.8,541.9,5296486,19,4781468,2343001,1188044,319728
Massachusetts,6587536,6547629,6497967,6449755,6437000,6416505,13,5.5,809.8,6349097,13,6016425,4690514,2805346,378787
Michigan,9876187,9883635,10003422,10071822,10096000,10112620,8,6.9,175,9938444,8,9295297,6371766,2420982,—
Minnesota,5344861,5303925,5220393,5197621,5167000,5100958,21,12.4,61.8,4919479,21,4375099,2982483,1751394,—
Mississippi,2978512,2967297,2938618,2918785,2911000,2902966,31,10.5,60.6,2844658,31,2573216,2178914,1551270,—
Missouri,6010688,5988927,5911605,5878415,5843000,5754618,17,9.3,81.2,5595211,17,5117073,3954653,3106665,—
Montana,998199,989415,967440,957861,945000,926865,44,12.9,6.2,902195,44,799065,591024,243329,—
Nebraska,1842641,1826341,1783432,1774571,1768000,1747214,38,8.4,22.3,1711263,38,1578385,1325510,1066300,—
Nevada,2723322,2700551,2600167,2565382,2496000,2334771,35,66.3,18.2,1998257,35,1201833,160083,42335,—
New Hampshire,1318194,1316472,1315809,1315828,1315000,1299500,41,11.4,137.8,1235786,41,1109252,533242,411588,141885
New Jersey,8821155,8791894,8682661,8685920,8725000,8698879,11,8.9,1134.5,8414350,9,7730188,4835329,1883669,184139
New Mexico,2082224,2059180,1984356,1969915,1955000,1903289,36,20.1,15,1819046,36,1515069,681187,195310,—
New York,19465197,19378104,19490297,19297729,19306000,19227088,3,5.5,401.9,18976457,3,17990455,14830192,7268894,340120
North Carolina,9656401,9535475,9222414,9061032,8857000,8541221,10,21.4,165.2,8049313,11,6628637,4061929,1893810,393751
North Dakota,683932,672591,641481,639715,636000,634366,48,0.5,9.3,642200,47,638800,619636,319146,—
Ohio,11544951,11536502,11485910,11466917,11478000,11459011,7,4.7,277.3,11353140,7,10847115,7946627,4157545,—
