"FID_","STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
,"01","083","3","010833","A","Ardmore Town Hall-Johnson Elem--Oak Grove FD","Ardmore Town Hall-Johnson Elem--Oak Grove FD","00","G5240","N",172643310.000000,486119.000000,"+34.9220735","-086.8442694"
,"01","047","9182","010479182","P","East End Fire Station","East End Fire Station","00","G5240","S",2088698.000000,145900.000000,"+32.4086216","-087.0030254"
,"01","047","0201","010470201","P","Summerfield VFD","Summerfield VFD","00","G5240","S",67018118.000000,382473.000000,"+32.5484564","-087.0530692"
,"01","047","0302","010470302","P","Valley Grande VFD","Valley Grande VFD","00","G5240","S",141230340.000000,777206.000000,"+32.5021897","-086.9653931"
,"01","061","17","0106117","A","Devco Voting House","Devco Voting House","00","G5240","N",39096669.000000,642033.000000,"+31.0124903","-085.8961087"
,"01","061","10","0106110","P","Geneva-Courthouse-Armory-Community Center","Geneva-Courthouse-Armory-Community Center","00","G5240","S",109049258.000000,1056299.000000,"+31.0601590","-085.8357006"
,"01","061","12","0106112","P","Lytle","Lytle","00","G5240","S",83446317.000000,817574.000000,"+31.0659002","-085.9494658"
,"01","061","9","010619","A","Bellwood-Chancellor","Bellwood-Chancellor","00","G5240","N",120705790.000000,902948.000000,"+31.1625804","-085.8313634"
,"01","061","7","010617","P","Hartford NG Armory-St. Paul","Hartford NG Armory-St. Paul","00","G5240","S",103259393.000000,712880.000000,"+31.1360891","-085.7451365"
,"01","061","13","0106113","A","Piney Grove-Samson Legion Hall-Samson Comm Center Voting District","Piney Grove-Samson Legion Hall-Samson Comm Center Voting District","00","G5240","N",143178517.000000,782715.000000,"+31.1448519","-086.0457829"
,"01","061","11","0106111","A","Coffee Springs","Coffee Springs","00","G5240","N",69131111.000000,303643.000000,"+31.1590984","-085.9354633"
,"01","061","14","0106114","P","Gilmore","Gilmore","00","G5240","S",76940894.000000,1053008.000000,"+31.0424889","-086.0265719"
,"01","061","16","0106116","P","Hacoda-Flat Creek","Hacoda-Flat Creek","00","G5240","S",114155655.000000,1905646.000000,"+31.0317562","-086.1276238"
,"01","061","15","0106115","P","Lowery-Revels Store","Lowery-Revels Store","00","G5240","S",101042300.000000,1117650.000000,"+31.1273297","-086.1474438"
,"01","061","3","010613","A","Malvery-Hughes Voting House","Malvery-Hughes Voting House","00","G5240","N",111873114.000000,55921.000000,"+31.1477770","-085.5338865"
,"01","061","4","010614","A","Fadette","Fadette","00","G5240","N",103626218.000000,456953.000000,"+31.0416790","-085.5519486"
,"01","061","5","010615","A","Tate-Slocomb Community Room","Tate-Slocomb Community Room","00","G5240","N",98917264.000000,371780.000000,"+31.0921326","-085.6088957"
,"01","061","6","010616","A","Dundee-Hurricane Creek-Sardis Voting District","Dundee-Hurricane Creek-Sardis Voting District","00","G5240","N",116434412.000000,1371734.000000,"+31.0992599","-085.6578303"
,"01","061","8","010618","A","Black-Kelley Cross Roads","Black-Kelley Cross Roads","00","G5240","N",96853679.000000,214333.000000,"+31.0554702","-085.7340117"
,"01","065","11B","0106511B","A","Valley B","Valley B","00","G5240","N",33338888.000000,42161.000000,"+32.8490865","-087.5356521"
,"01","065","1","010651","A","Havanna","Havanna","00","G5240","N",18705321.000000,6795.000000,"+32.8653504","-087.5849941"
,"01","065","1B","010651B","A","Havanna-B","Havanna-B","00","G5240","N",36233166.000000,24585.000000,"+32.8620377","-087.6414000"
,"01","065","1A","010651A","P","Havanna-A","Havanna-A","00","G5240","S",47316869.000000,19148.000000,"+32.9075466","-087.5664705"
,"01","065","10A","0106510A","A","Mount Herman A","Mount Herman A","00","G5240","N",32029080.000000,13172.000000,"+32.8047556","-087.5271121"
,"01","065","10","0106510","A","Mount Herman","Mount Herman","00","G5240","N",37061804.000000,1050677.000000,"+32.7683756","-087.5025938"
,"01","065","11C","0106511C","P","Valley C","Valley C","00","G5240","S",8606355.000000,99349.000000,"+32.8303993","-087.4749215"
,"01","065","42","0106542","A","National Guard Armory 2","National Guard Armory 2","00","G5240","N",90599014.000000,402854.000000,"+32.7004192","-087.5118485"
,"01","065","3A","010653A","A","Bucksnort A","Bucksnort A","00","G5240","N",27045676.000000,510628.000000,"+32.8024654","-087.5764624"
,"01","065","11E","0106511E","A","Valley E","Valley E","00","G5240","N",3689151.000000,0.000000,"+32.8416691","-087.4903333"
,"01","065","45A","0106545A","A","National Guard Armory 5-A","National Guard Armory 5-A","00","G5240","N",8423352.000000,7975.000000,"+32.7425621","-087.5740975"
,"01","065","11A","0106511A","P","Valley A","Valley A","00","G5240","S",59739721.000000,562340.000000,"+32.9065433","-087.4650054"
,"01","065","12","0106512","A","Moundville City Hall","Moundville City Hall","00","G5240","N",90094959.000000,86439.000000,"+32.9602905","-087.5975453"
,"01","065","13","0106513","P","Phipps Work Center","Phipps Work Center","00","G5240","S",91501727.000000,0.000000,"+32.9661619","-087.4817946"
,"01","065","11D","0106511D","A","Valley D","Valley D","00","G5240","N",8140458.000000,35002.000000,"+32.8683569","-087.4936384"
,"01","065","1C","010651C","A","Havana-C","Havana-C","00","G5240","N",1934670.000000,0.000000,"+32.9012832","-087.6368236"
,"01","065","12A","0106512A","A","Moundville City Hall A","Moundville City Hall A","00","G5240","N",55651544.000000,2183030.000000,"+32.9668187","-087.6805155"
,"01","065","16","0106516","A","Stewart","Stewart","00","G5240","N",49542832.000000,2580302.000000,"+32.9064825","-087.7229930"
,"01","065","16A","0106516A","A","Stewart A","Stewart A","00","G5240","N",13802968.000000,21048.000000,"+32.9280047","-087.6650395"
,"01","065","2","010652","A","Akron City Hall","Akron City Hall","00","G5240","N",26227954.000000,12418.000000,"+32.8527428","-087.6899880"
,"01","065","2A","010652A","A","Akron City Hall A","Akron City Hall A","00","G5240","N",71462165.000000,4972536.000000,"+32.8553650","-087.7745269"
,"01","065","3","010653","A","Bucksnort","Bucksnort","00","G5240","N",35505680.000000,64562.000000,"+32.8061870","-087.6159373"
,"01","065","2B","010652B","A","Akron City Hall B","Akron City Hall B","00","G5240","N",32905115.000000,509363.000000,"+32.8182592","-087.7016270"
,"01","065","6","010656","A","Sawyerville","Sawyerville","00","G5240","N",149627990.000000,6425146.000000,"+32.7184498","-087.7610012"
,"01","065","44A","0106544A","A","National Guard Armory 4-A","National Guard Armory 4-A","00","G5240","N",30283287.000000,88779.000000,"+32.7527958","-087.6230608"
,"01","065","6B","010656B","A","Sawyerville B","Sawyerville B","00","G5240","N",65883457.000000,592021.000000,"+32.7773983","-087.7146290"
,"01","065","5","010655","A","Newbern","Newbern","00","G5240","N",69704029.000000,1246146.000000,"+32.6302728","-087.5834471"
,"01","065","41","0106541","A","National Guard Armory 1","National Guard Armory 1","00","G5240","N",25130189.000000,398888.000000,"+32.6775360","-087.6301611"
,"01","065","7","010657","A","Cedarville","Cedarville","00","G5240","N",145582143.000000,5352715.000000,"+32.6211927","-087.6978959"
,"01","065","43","0106543","A","National Guard Armory 3","National Guard Armory 3","00","G5240","N",12420093.000000,493114.000000,"+32.7237674","-087.6168805"
,"01","065","41A","0106541A","A","National Guard Armory 1-A","National Guard Armory 1-A","00","G5240","N",15781252.000000,243651.000000,"+32.7150884","-087.6525236"
,"01","065","42A","0106542A","A","National Guard Armory 2-A","National Guard Armory 2-A","00","G5240","N",8279605.000000,9633.000000,"+32.7149559","-087.5750452"
,"01","065","43A","0106543A","A","National Guard Armory 3-A","National Guard Armory 3-A","00","G5240","N",1055562.000000,13767.000000,"+32.7083215","-087.5879868"
,"01","065","5A","010655A","A","Newbern A","Newbern A","00","G5240","N",27721344.000000,317936.000000,"+32.5884358","-087.5674585"
,"01","119","9","011199","P","Emelle City Hall","Emelle City Hall","00","G5240","S",206042623.000000,884272.000000,"+32.7414934","-088.2934639"
,"01","119","5","011195","P","Bellamy Community Center","Bellamy Community Center","00","G5240","S",139755352.000000,418954.000000,"+32.4509149","-088.1352469"
,"01","119","1","011191","P","Whitfield Community Center","Whitfield Community Center","00","G5240","S",113419717.000000,1919042.000000,"+32.3434254","-088.0607439"
,"01","119","2","011192","P","Ward Fire Station","Ward Fire Station","00","G5240","S",225070776.000000,198129.000000,"+32.3452766","-088.2591310"
,"01","119","3","011193","P","Cuba City Hall","Cuba City Hall","00","G5240","S",143303209.000000,273541.000000,"+32.4467521","-088.3655628"
,"01","119","4","011194","P","York Hightower Center","York Hightower Center","00","G5240","S",232034736.000000,299491.000000,"+32.4695747","-088.2719706"
,"01","119","6","011196","A","Coatopa Fire Dept","Coatopa Fire Dept","00","G5240","N",286024995.000000,7476209.000000,"+32.5031806","-087.9707576"
,"01","119","8","011198","P","Boyd Voting Trailer","Boyd Voting Trailer","00","G5240","S",167015430.000000,85867.000000,"+32.6106504","-088.3158269"
,"01","119","12","0111912","P","Geiger City Hall","Geiger City Hall","00","G5240","S",138286191.000000,2535278.000000,"+32.8377887","-088.2786602"
,"01","119","13","0111913","P","Panola Community Center","Panola Community Center","00","G5240","S",161466799.000000,2976627.000000,"+32.9562248","-088.2411597"
,"01","119","11","0111911","P","Gainesville City Hall","Gainesville City Hall","00","G5240","S",139256500.000000,4363986.000000,"+32.7952591","-088.1824732"
,"01","119","7","011197","P","Livingston Community Center","Livingston Community Center","00","G5240","S",251331860.000000,1142673.000000,"+32.6118606","-088.1386681"
,"01","119","10","0111910","P","Epes Community Center","Epes Community Center","00","G5240","S",138052381.000000,1859065.000000,"+32.6950494","-088.1419629"
,"01","047","0101","010470101","P","Plantersville VFD","Plantersville VFD","00","G5240","S",126412894.000000,511292.000000,"+32.6306798","-086.9818152"
,"01","047","0401","010470401","P","Orrville High School","Orrville High School","00","G5240","S",410193982.000000,8396138.000000,"+32.2670059","-087.2139608"
,"01","065","9","010659","A","Laneville","Laneville","00","G5240","N",88182413.000000,278800.000000,"+32.5131603","-087.5751355"
,"01","065","8","010658","A","Gallion","Gallion","00","G5240","N",117219744.000000,3640210.000000,"+32.5250857","-087.7027796"
,"01","065","2C","010652C","A","Akron City Hall C","Akron City Hall C","00","G5240","N",3057430.000000,71040.000000,"+32.8816322","-087.7280212"
,"01","065","11","0106511","A","Valley","Valley","00","G5240","N",19919797.000000,3486.000000,"+32.8590418","-087.4429005"
,"01","065","7B","010657B","A","Cedarville B","Cedarville B","00","G5240","N",8397177.000000,146160.000000,"+32.6264445","-087.6647379"
,"01","047","0402","010470402","P","Beloit Community Center","Beloit Community Center","00","G5240","S",35458971.000000,458290.000000,"+32.3183696","-087.1563389"
,"01","047","0501","010470501","P","Tipton School","Tipton School","00","G5240","S",72657648.000000,2184487.000000,"+32.3499444","-086.9972348"
,"01","047","0502","010470502","P","Selmont Water Works","Selmont Water Works","00","G5240","S",25337084.000000,1195290.000000,"+32.3534186","-086.9441366"
,"01","047","0601","010470601","P","Tyler Community Center","Tyler Community Center","00","G5240","S",130307280.000000,3247798.000000,"+32.3170691","-086.8660118"
