"FID_","STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
,"02","180","39-944","0218039-944","A","Stebbins Precinct","Stebbins Precinct","00","G5240","N",227397161.000000,513713410.000000,"+63.5813250","-162.4423162"
,"02","180","39-948","0218039-948","A","Unalakleet Precinct","Unalakleet Precinct","00","G5240","N",5181232300.00000,397277700.000000,"+63.9893056","-160.3953643"
,"02","180","39-926","0218039-926","A","Nome No. 2 Precinct","Nome No. 2 Precinct","00","G5240","N",3949259249.00000,353160116.000000,"+64.8627997","-164.5604253"
,"02","180","39-924","0218039-924","A","Nome No. 1 Precinct","Nome No. 1 Precinct","00","G5240","N",1072441495.00000,353850749.000000,"+64.5870438","-165.7387297"
,"02","060","37-736","0206037-736","A","South Naknek Precinct","South Naknek Precinct","00","G5240","N",268022011.000000,491621554.000000,"+58.6221679","-157.2420528"
,"02","060","37-722","0206037-722","A","King Salmon Precinct","King Salmon Precinct","00","G5240","N",579134039.000000,55821125.000000,"+58.7138608","-156.5090708"
,"02","060","37-728","0206037-728","A","Naknek Precinct","Naknek Precinct","00","G5240","N",457813890.000000,446386894.000000,"+58.8065387","-157.0065342"
,"02","185","40-032","0218540-032","A","Point Hope Precinct","Point Hope Precinct","00","G5240","N",12025275202.0000,2086307052.00000,"+68.7026031","-164.8070440"
,"02","185","40-034","0218540-034","A","Point Lay Precinct","Point Lay Precinct","00","G5240","N",25609195538.0000,652774367.000000,"+69.1975739","-161.0918620"
,"02","185","40-008","0218540-008","A","Barrow Precinct","Barrow Precinct","00","G5240","N",140810949.000000,99899158.000000,"+71.1745162","-156.8847212"
,"02","185","40-010","0218540-010","A","Browerville Precinct","Browerville Precinct","00","G5240","N",1158283135.00000,858246218.000000,"+71.1722583","-156.3499043"
,"02","185","40-044","0218540-044","A","Wainwright Precinct","Wainwright Precinct","00","G5240","N",21442574853.0000,2713886294.00000,"+70.4935612","-159.0949449"
,"02","185","40-007","0218540-007","A","Atqasuk Precinct","Atqasuk Precinct","00","G5240","N",5131417562.00000,9365008.000000,"+70.3102318","-157.3164470"
,"02","185","40-016","0218540-016","A","Kaktovik Precinct","Kaktovik Precinct","00","G5240","N",38043176547.0000,1713395999.00000,"+69.5481755","-143.5848168"
,"02","185","40-030","0218540-030","A","Nuiqsut Precinct","Nuiqsut Precinct","00","G5240","N",62738265770.0000,4552397887.00000,"+69.4451571","-155.7990166"
,"02","185","40-004","0218540-004","A","Anaktuvuk Pass Precinct","Anaktuvuk Pass Precinct","00","G5240","N",63431485795.0000,3114778218.00000,"+69.3039168","-149.6463839"
,"02","180","39-942","0218039-942","A","St. Michael Precinct","St. Michael Precinct","00","G5240","N",3912066366.00000,609159378.000000,"+63.2811033","-161.8045457"
,"02","170","13-020","0217013-020","A","Mat-Su Campus Precinct","Mat-Su Campus Precinct","00","G5240","N",16587471.000000,1127501.000000,"+61.5667058","-149.2230382"
,"02","170","14-080","0217014-080","A","Wasilla No. 2 Precinct","Wasilla No. 2 Precinct","00","G5240","N",12560706.000000,279759.000000,"+61.5762458","-149.4174592"
,"02","170","15-110","0217015-110","A","Meadow Lakes No. 1 Precinct","Meadow Lakes No. 1 Precinct","00","G5240","N",120694711.000000,3871202.000000,"+61.6855695","-149.5578040"
,"02","170","13-040","0217013-040","A","Trunk Precinct","Trunk Precinct","00","G5240","N",16490223.000000,61361.000000,"+61.5700190","-149.2656767"
,"02","261","06-613","0226106-613","A","Mentasta Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","Mentasta Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","00","G5240","N",1952674879.00000,6373567.000000,"+62.9920071","-143.6458316"
,"02","261","12-031","0226112-031","A","Glennallen Precinct","Glennallen Precinct","00","G5240","N",15629438457.0000,439723885.000000,"+61.7912412","-146.1593531"
,"02","261","06-593","0226106-593","A","Kenny Lake Precinct","Kenny Lake Precinct","00","G5240","N",1125352282.00000,2397582.000000,"+61.6271712","-144.8629762"
,"02","261","06-627","0226106-627","A","Northway Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","Northway Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","00","G5240","N",217112075.000000,129649.000000,"+62.1104841","-142.0486415"
,"02","261","06-688","0226106-688","A","Tok Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","Tok Precinct (Part; Also See Part In Southeast Fairbanks Census Area)","00","G5240","N",45565853.000000,0.000000,"+63.0993763","-143.4322353"
,"02","261","12-055","0226112-055","A","Valdez No. 2 Precinct","Valdez No. 2 Precinct","00","G5240","N",7140702.000000,1752524.000000,"+61.1470051","-146.3356794"
,"02","261","12-050","0226112-050","A","Valdez No. 1 Precinct","Valdez No. 1 Precinct","00","G5240","N",199396058.000000,111475079.000000,"+61.0745179","-146.5388401"
,"02","261","12-060","0226112-060","A","Valdez No. 3 Precinct","Valdez No. 3 Precinct","00","G5240","N",6014643995.00000,917715541.000000,"+61.0279769","-147.3427276"
,"02","261","32-995","0226132-995","A","Whittier Precinct","Whittier Precinct","00","G5240","N",68218326.000000,19452662.000000,"+60.7881729","-148.5753893"
,"02","261","06-543","0226106-543","A","Copper Center Precinct","Copper Center Precinct","00","G5240","N",25233304701.0000,633456250.000000,"+61.2709072","-142.6055157"
,"02","261","06-557","0226106-557","A","Gakona Precinct","Gakona Precinct","00","G5240","N",3410785865.00000,3682311.000000,"+62.7615226","-145.2508311"
,"02","261","06-537","0226106-537","A","Chistochina Precinct","Chistochina Precinct","00","G5240","N",16064304626.0000,129408289.000000,"+62.1486730","-143.2868193"
,"02","261","05-502","0226105-502","A","Cordova Precinct","Cordova Precinct","00","G5240","N",155311800.000000,40634618.000000,"+60.5301380","-145.6420649"
,"02","261","05-556","0226105-556","A","Tatitlek Precinct (Part; Also See Part In Yakutat Borough)","Tatitlek Precinct (Part; Also See Part In Yakutat Borough)","00","G5240","N",18557823396.0000,13493529353.0000,"+60.4808619","-145.8249756"
,"02","170","13-035","0217013-035","A","Pioneer Peak Precinct","Pioneer Peak Precinct","00","G5240","N",12551555.000000,2647645.000000,"+61.6171289","-149.2581180"
,"02","170","13-045","0217013-045","A","Walby Lake Precinct","Walby Lake Precinct","00","G5240","N",6519552.000000,193102.000000,"+61.6060808","-149.2283815"
,"02","170","13-025","0217013-025","A","City of Palmer Precinct","City of Palmer Precinct","00","G5240","N",8245143.000000,21176.000000,"+61.5969409","-149.1056981"
,"02","170","13-010","0217013-010","A","Greater Palmer Precinct","Greater Palmer Precinct","00","G5240","N",17881197.000000,210572.000000,"+61.5933258","-149.1669323"
,"02","170","13-033","0217013-033","A","Palmer-Fishhook Precinct","Palmer-Fishhook Precinct","00","G5240","N",17910033.000000,28237.000000,"+61.6306660","-149.1700048"
,"02","170","13-005","0217013-005","A","Fishhook Precinct","Fishhook Precinct","00","G5240","N",140433326.000000,1054536.000000,"+61.7121204","-149.2858683"
,"02","170","14-070","0217014-070","A","Wasilla Lake Precinct","Wasilla Lake Precinct","00","G5240","N",7324727.000000,1151389.000000,"+61.5859068","-149.3863851"
,"02","170","14-065","0217014-065","A","Seward Meridian Precinct","Seward Meridian Precinct","00","G5240","N",9811873.000000,231346.000000,"+61.5813312","-149.3495257"
,"02","170","14-060","0217014-060","A","Schrock Precinct","Schrock Precinct","00","G5240","N",66343389.000000,681812.000000,"+61.6511547","-149.4452741"
