"STATE_NAME","SUB_REGION","STATE_ABBR","POP2000","POP00_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","HISPANIC","OTHER","MULT_RACE","MALES","FEMALES","AGE_UNDER5","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_84","AGE_85_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS07","AVG_SIZE07","CROP_ACR07","AVG_SALE07","SQMI"
"Hawaii","Pacific","HI",1211537,188.400000,1360301,211.600000,336599,21424,4164,525078,135422,120842,16985,320629,681243,679058,87407,83361,81539,85994,95829,185333,176373,193765,175562,100523,64377,30238,38.500000,37.100000,39.900000,455338,2.890000,51465,54710,106290,123786,14196,32764,313907,3.420000,519508,64170,262682,192656,7521.000000,149.000000,177626.000000,68.290000,6429.380000
"Washington","Pacific","WA",5894121,87.200000,6724540,99.400000,5196362,240042,103869,481067,40475,755790,349799,312926,3349707,3374833,439657,429877,438233,462128,461512,933781,908305,988205,835165,457220,253186,117271,37.200000,36.200000,38.200000,2620076,2.510000,331357,380262,563755,725094,75160,183425,1687455,3.060000,2885677,265601,1673920,946156,39284.000000,381.000000,7609210.000000,172.920000,67620.680000
"Montana","Mountain","MT",902195,6.100000,989415,6.700000,884961,4027,62555,6253,668,28565,5975,24976,496667,492748,62423,60765,61124,66724,67138,122864,112945,149832,138858,80742,45979,20021,39.800000,38.700000,41.000000,409607,2.350000,59524,62251,77236,124375,11894,25539,257087,2.910000,482825,73218,278418,131189,29524.000000,2079.000000,18241710.000000,94.940000,147042.710000
"Maine","New England","ME",1274923,39.200000,1328361,40.900000,1264971,15707,8568,13571,342,16935,4261,20941,650056,678305,69520,74116,79013,88310,79646,144624,171376,218575,192101,112651,69293,29136,42.700000,41.500000,43.800000,557219,2.320000,69412,90121,98661,171427,16089,36996,350621,2.830000,721830,164611,397417,159802,8136.000000,166.000000,529253.000000,75.860000,32489.120000
"North Dakota","West North Central","ND",642200,9.100000,672591,9.500000,605449,7960,36591,6909,320,13467,3509,11853,339864,332727,44595,40076,39790,47474,58956,90485,75262,96657,81819,46873,33916,16688,37.000000,35.500000,38.600000,281192,2.300000,43478,45085,54267,82255,6846,16128,170916,2.910000,317498,36306,183943,97249,31970.000000,1241.000000,27527180.000000,190.310000,70700.020000
"South Dakota","West North Central","SD",754844,9.800000,814180,10.600000,699392,10207,71817,7610,394,22119,7477,17283,407381,406799,59621,55531,53960,57628,57596,105429,93112,116918,97804,57627,39728,19226,36.900000,35.600000,38.200000,322282,2.420000,44920,49718,66327,95290,9309,23009,206964,3.000000,363438,41156,219558,102724,31169.000000,1401.000000,19094311.000000,210.800000,77116.220000
"Wyoming","Mountain","WY",493782,5.000000,563626,5.800000,511279,4748,13336,4426,427,50231,17049,12361,287437,276189,40203,37213,35955,38142,40318,77649,66966,83577,73513,39568,21920,8602,36.800000,36.000000,37.700000,226879,2.420000,33252,30228,47222,68312,7209,14435,146644,2.960000,261868,34989,157077,69802,11069.000000,2726.000000,2576017.000000,104.580000,97813.890000
"Wisconsin","East North Central","WI",5363675,95.600000,5686986,101.400000,4902067,359148,54526,129234,1827,336056,135867,104317,2822400,2864586,358443,368617,375927,399209,386552,721694,725666,873753,699811,400496,258313,118505,38.400000,37.200000,39.500000,2279768,2.430000,293079,349428,461843,669501,63385,161785,1468917,2.990000,2624358,344590,1551558,728210,78463.000000,194.000000,10116279.000000,114.290000,56103.980000
"Idaho","Mountain","ID",1293953,15.500000,1567582,18.800000,1396487,9810,21441,19069,2317,175901,79523,38935,785324,782258,121772,121195,116955,115359,108209,208965,191609,208537,180313,109534,59892,25242,34.600000,33.800000,35.400000,579408,2.660000,64386,73399,146777,173613,17912,38905,403144,3.160000,667796,88388,404903,174505,25349.000000,454.000000,5918899.000000,224.420000,83570.140000
"Vermont","New England","VT",608827,63.300000,625741,65.100000,596292,6277,2207,7947,160,9208,2105,10753,308206,317535,31952,34654,37637,46012,43851,69622,78359,102603,89973,49538,28743,12797,41.500000,40.400000,42.600000,256442,2.340000,32192,40041,47353,77042,7209,16720,160360,2.850000,322539,66097,181407,75035,6984.000000,177.000000,516924.000000,96.470000,9614.430000
"Minnesota","West North Central","MN",4919479,58.300000,5303925,62.900000,4524062,274412,60916,214234,2156,250258,103000,125145,2632132,2671793,355504,355536,352342,367829,355651,715586,681094,807898,629364,354427,222030,106664,37.300000,36.200000,38.300000,2087227,2.480000,264076,319932,459038,601471,54110,136459,1349015,3.050000,2347201,259974,1523859,563368,80992.000000,332.000000,21948603.000000,162.740000,84376.210000
"Oregon","Pacific","OR",3421399,35.200000,3831074,39.500000,3204614,69206,53203,141263,13404,450062,204625,144759,1896002,1935072,237556,237214,242553,254860,253048,524144,499525,539075,509566,290041,165620,77872,38.300000,37.200000,39.400000,1518938,2.470000,185048,231699,300456,433285,42862,105011,963467,3.000000,1675562,156624,944485,574453,38553.000000,425.000000,5010408.000000,113.770000,97076.810000
"New Hampshire","New England","NH",1235786,133.400000,1316470,142.100000,1236050,15035,3150,28407,384,36704,12062,21382,649394,667076,69806,77756,84620,93620,84546,144472,179178,225961,178243,96762,56745,24761,41.100000,40.200000,41.900000,518973,2.460000,60906,72151,111355,159280,14194,32626,344197,2.960000,614754,95781,368316,150657,4166.000000,113.000000,128938.000000,47.780000,9266.560000
"Iowa","West North Central","IA",2926324,52.000000,3046355,54.100000,2781561,89148,11084,53094,2003,151544,56132,53333,1508319,1538036,202123,200646,200904,216837,213350,382583,364548,439726,372750,224656,153574,74658,38.000000,36.600000,39.500000,1221576,2.410000,156260,191219,255151,370022,32938,79718,790034,2.970000,1336417,114841,880635,340941,92856.000000,331.000000,26316332.000000,219.890000,56272.820000
"Massachusetts","New England","MA",6349097,783.500000,6547629,808.000000,5265236,434398,18850,349768,2223,627654,305151,172003,3166628,3381001,367087,385687,405613,462756,475668,845141,887149,1012435,803369,456460,301065,145199,39.000000,37.600000,40.300000,2547075,2.480000,307384,424879,526968,651722,52480,196841,1603591,3.080000,2808254,261179,1587158,959917,7691.000000,67.000000,187406.000000,63.690000,8103.950000
"Nebraska","West North Central","NE",1711263,22.100000,1826341,23.600000,1572838,82885,18427,32293,1279,167405,79109,39510,906296,920045,131908,128928,122706,128930,129276,245176,220838,258726,213176,123126,84243,39308,36.200000,35.000000,37.400000,721130,2.460000,94836,111971,159338,206920,18692,49762,467206,3.040000,796793,75663,484730,236400,47712.000000,953.000000,21486025.000000,324.990000,77353.010000
"New York","Middle Atlantic","NY",18976457,390.600000,19378102,398.900000,12740974,3073800,106906,1420244,8766,3416922,1441563,585849,9377147,10000955,1155822,1163955,1211456,1366278,1410935,2659337,2610017,2878691,2303668,1360602,866467,390874,37.900000,36.300000,39.400000,7317755,2.570000,908800,1221870,1449828,1743075,182697,657765,4649791,3.200000,8108103,790348,3897837,3419918,36352.000000,197.000000,4314954.000000,121.550000,48578.820000
"Pennsylvania","Middle Atlantic","PA",12281054,271.100000,12702379,280.400000,10406288,1377689,26843,349088,3653,719660,300983,237835,6190363,6512016,729538,753635,791151,905066,874146,1511119,1615669,1940404,1622344,979538,674093,305676,40.100000,38.600000,41.500000,5018904,2.450000,620575,812840,974627,1443138,124658,380265,3261307,3.020000,5567315,548411,3491722,1527182,63163.000000,124.000000,4870287.000000,91.970000,45292.960000
"Connecticut","New England","CT",3405565,686.200000,3574097,720.200000,2772410,362296,11256,135565,1428,479087,198466,92676,1739614,1834483,202106,222571,240265,250834,227898,420377,484438,575597,443452,254944,166717,84898,40.000000,38.400000,41.300000,1371087,2.520000,157923,215725,301090,370923,30428,111767,908661,3.080000,1487891,116804,925286,445801,4916.000000,83.000000,163686.000000,112.190000,4962.770000
"Rhode Island","New England","RI",1048319,964.500000,1052567,968.400000,856869,60189,6058,30457,554,130655,63653,34787,508400,544167,57448,60440,63824,80046,82167,126962,136860,162350,130589,73879,51252,26750,39.300000,37.600000,40.800000,413600,2.440000,52476,70012,76979,106925,10296,35741,259561,3.040000,463388,49788,250952,162648,1219.000000,56.000000,24457.000000,54.070000,1086.870000
"New Jersey","Middle Atlantic","NJ",8414350,1114.000000,8791894,1164.000000,6029248,1204826,29026,725726,3043,1555144,559722,240303,4279600,4512294,541020,564750,587335,598099,541238,1109801,1238297,1379196,1046165,611434,394948,179611,38.900000,37.300000,40.300000,3214360,2.680000,334610,476611,786665,856712,76052,253467,2226606,3.220000,3553562,339202,2102465,1111895,10327.000000,71.000000,488697.000000,95.560000,7553.070000
"Indiana","East North Central","IN",6080485,168.000000,6483802,179.200000,5467906,591397,18462,102474,2348,389707,173314,127901,3189737,3294065,434075,444821,452171,475515,452026,827345,840830,946768,769143,452335,273501,115272,36.900000,35.600000,38.100000,2502154,2.520000,303513,368407,532312,708955,75497,210930,1674126,3.050000,2795541,293387,1747975,754179,60938.000000,242.000000,12716037.000000,135.730000,36183.720000
"Nevada","Mountain","NV",1998257,18.100000,2700551,24.400000,1786688,218626,32062,195436,16871,716501,324793,126075,1363616,1336935,187478,183077,183173,182600,177509,387286,383043,376527,315499,197781,96391,30187,36.300000,35.800000,36.800000,1006250,2.650000,134121,124288,212405,250104,39193,83426,656621,3.200000,1173814,167564,591480,414770,3131.000000,1873.000000,753718.000000,163.930000,110561.370000
"Utah","Mountain","UT",2233169,26.300000,2763885,32.600000,2379560,29287,32927,55285,24554,358340,166754,75518,1388317,1375568,263924,249572,227951,221090,226519,445687,332475,306964,240241,138224,80247,30991,29.200000,28.700000,29.700000,877692,3.100000,75819,88199,295560,240267,23303,57052,660234,3.560000,979709,102017,618137,259555,16700.000000,664.000000,1837904.000000,84.770000,84898.130000
"California","Pacific","CA",33871648,214.200000,37253956,235.600000,21453934,2299072,362801,4861007,144386,14013719,6317372,1815384,18517830,18736126,2531333,2505839,2590930,2823940,2765949,5317877,5182710,5252371,4036493,2275336,1370210,600968,35.200000,34.000000,36.300000,12577498,2.900000,1311878,1617564,3178557,3034753,428189,1040864,8642473,3.450000,13680081,1102583,7035371,5542127,81033.000000,313.000000,9464647.000000,418.160000,158144.830000
"Ohio","East North Central","OH",11353140,275.200000,11536504,279.600000,9539437,1407681,25292,192233,4066,354674,130030,237765,5632156,5904348,720856,747889,774699,823682,763116,1409959,1479831,1742191,1452266,850234,541352,230429,38.700000,37.300000,40.000000,4603435,2.440000,587486,741064,893911,1279566,125885,397464,2991629,3.010000,5127508,524073,3111054,1492381,75861.000000,184.000000,10832772.000000,93.200000,41256.240000
"Illinois","East North Central","IL",12419293,220.400000,12830632,227.700000,9177877,1866414,43963,586934,4050,2027578,861412,289982,6292276,6538356,835577,859405,879448,922092,878964,1775957,1725890,1870879,1473207,849535,524766,234912,36.500000,35.200000,37.800000,4836972,2.590000,595401,750911,1078612,1254383,124667,397794,3182984,3.200000,5296715,459743,3263639,1573333,76860.000000,348.000000,23707699.000000,173.420000,56341.770000
"District of Columbia","South Atlantic","DC",572059,9198.600000,601723,9675.600000,231471,305125,2079,21056,302,54749,24374,17316,284222,317501,32613,26147,25041,39919,64110,124745,80659,75703,63977,36969,21525,10315,33.900000,33.700000,34.100000,266707,2.110000,51964,65467,22896,35763,4598,26964,112715,3.010000,296719,30012,112055,154652,-99.000000,-99.000000,-99.000000,-99.000000,62.190000
"Delaware","South Atlantic","DE",783600,396.600000,897934,454.500000,618617,191814,4181,28549,400,73221,30519,23854,434939,462995,55886,56486,56848,64583,62867,111417,116087,133554,110929,72453,41080,15744,38.700000,37.200000,40.100000,342297,2.550000,36935,50561,68301,96979,9829,31500,230731,3.060000,405885,63588,246724,95573,2546.000000,200.000000,432773.000000,425.390000,1975.780000
"West Virginia","South Atlantic","WV",1808344,74.600000,1852994,76.500000,1739988,63124,3787,12406,428,22268,6119,27142,913586,939408,104060,106016,109045,120092,117204,220698,237494,276156,264825,163520,97963,35921,41.300000,40.100000,42.600000,763831,2.360000,97209,120099,142478,237948,20685,51774,502332,2.880000,881917,118086,561013,202818,23618.000000,157.000000,942132.000000,25.050000,24229.880000
"Maryland","South Atlantic","MD",5296486,535.000000,5773552,583.200000,3359284,1700298,20420,318853,3157,470632,206832,164708,2791762,2981790,364488,366868,379029,406241,393698,762042,795572,902204,695768,386357,223159,98126,37.800000,36.300000,39.200000,2156411,2.610000,234157,328846,471325,555414,56793,199927,1447002,3.150000,2378814,222403,1455775,700636,12834.000000,160.000000,1405442.000000,142.990000,9899.540000
"Colorado","Mountain","CO",4301261,41.300000,5029196,48.300000,4089202,201737,56010,139028,6623,1038687,364140,172456,2520662,2508534,343960,348603,332654,339475,348615,726278,699644,742698,597644,309960,170052,69613,36.100000,35.100000,37.000000,1972868,2.490000,261384,289410,445721,525676,55903,135315,1261527,3.080000,2212898,240030,1293100,679768,37054.000000,853.000000,11483936.000000,163.580000,104093.950000
"Kentucky","East South Central","KY",4041769,100.000000,4339367,107.400000,3809537,337520,10120,48930,2501,132836,55551,75208,2134952,2204415,282367,282888,284154,296795,289968,566216,576662,643097,538993,325314,183705,69208,37.900000,36.600000,39.200000,1719965,2.450000,211205,262242,357926,490398,48694,144559,1149905,2.980000,1927164,207199,1181271,538694,85260.000000,164.000000,7278098.000000,56.590000,40409.650000
"Kansas","West North Central","KS",2688418,32.700000,2853118,34.700000,2391044,167864,28150,67762,2238,300042,110127,85933,1415408,1437710,205492,202447,198884,203821,204454,377720,346673,406264,331247,190389,126409,59318,36.000000,34.700000,37.300000,1112096,2.490000,140529,168809,250118,318191,32147,81709,734103,3.060000,1233215,121119,753532,358564,65531.000000,707.000000,28216064.000000,219.940000,82277.970000
"Virginia","South Atlantic","VA",7078515,177.000000,8001024,200.000000,5486852,1551399,29225,439890,5980,631825,254278,233400,3925983,4075041,509625,511849,511246,550965,572091,1090419,1108928,1214000,954964,549804,304730,122403,37.400000,36.100000,38.600000,3056058,2.540000,344272,450845,688268,846576,73357,244705,2047188,3.060000,3364939,308881,2055186,1000872,47383.000000,171.000000,3274137.000000,61.330000,39995.610000
"Missouri","West North Central","MO",5595211,80.300000,5988927,85.900000,4958770,693391,27376,98083,6261,212470,80457,124589,2933477,3055450,390237,390463,396925,423786,413289,775467,748616,888572,723278,450490,274025,113779,37.800000,36.400000,39.100000,2375611,2.450000,298358,373918,479864,671065,66668,195712,1552133,3.000000,2712729,337118,1633610,742001,107825.000000,269.000000,16405595.000000,69.680000,69702.890000
"Arizona","Mountain","AZ",5130632,45.000000,6392017,56.100000,4667121,259008,296529,176695,12648,1895149,761716,218300,3175823,3216194,455715,453680,448664,461582,442584,856693,822494,842546,726228,497892,280539,103400,35.900000,34.800000,37.100000,2380990,2.630000,288621,332387,502411,643625,84389,201425,1576520,3.190000,2844526,463536,1571687,809303,15637.000000,1670.000000,1205425.000000,206.850000,113997.770000
"Oklahoma","West South Central","OK",3450654,49.400000,3751351,53.700000,2706845,277644,321687,65076,4369,332007,154409,221321,1856977,1894374,264126,259336,253664,264484,269242,506755,460937,525611,440482,280467,164335,61912,36.200000,34.900000,37.600000,1460450,2.490000,182997,218156,311230,411205,45542,122265,975267,3.040000,1664378,203928,981760,478690,86565.000000,405.000000,13007625.000000,67.070000,69900.140000
"North Carolina","South Atlantic","NC",8049313,163.100000,9535483,193.300000,6528950,2048628,122110,208962,6604,800120,414030,206199,4645492,4889991,632040,635945,631104,659591,661573,1246593,1327151,1368646,1138761,697567,389051,147461,37.300000,35.900000,38.600000,3745155,2.480000,435368,575980,784888,1027141,100153,346354,2499174,3.010000,4327528,582373,2497900,1247255,52913.000000,160.000000,4895204.000000,194.920000,49339.570000
"Tennessee","East South Central","TN",5689283,135.000000,6346105,150.600000,4921948,1057315,19994,91242,3642,290059,141955,110009,3093504,3252601,407813,412181,418941,437186,426244,823997,854130,926436,785715,487074,266471,99917,37.900000,36.600000,39.200000,2493552,2.480000,294442,376844,508565,706229,67768,225635,1679177,3.010000,2812133,318581,1700592,792960,79280.000000,138.000000,6047348.000000,33.020000,42142.360000
"Texas","West South Central","TX",20851820,78.800000,25145561,95.000000,17701552,2979598,170972,964596,21656,9460921,2628186,679001,12472280,12673281,1928473,1928234,1881883,1883124,1817079,3613473,3458382,3435336,2597691,1472256,824451,305179,33.600000,32.600000,34.600000,8922933,2.750000,1014605,1148661,2298253,2216760,273431,862849,6237148,3.310000,9977436,1054503,5685353,3237580,247437.000000,527.000000,33667177.000000,84.870000,264778.770000
"New Mexico","Mountain","NM",1819046,15.000000,2059179,16.900000,1407876,42550,193222,28208,1810,953403,308503,77010,1017421,1041758,144981,143308,141691,149861,142370,267245,248523,292009,256936,153794,86468,31993,36.600000,35.300000,37.900000,791395,2.550000,106107,115240,156795,201559,31618,75191,518698,3.130000,901388,109993,542122,249273,20930.000000,2066.000000,2334018.000000,103.920000,121588.620000
"Alabama","East South Central","AL",4447100,86.100000,4779736,92.500000,3275394,1251311,28218,53595,3057,185602,96910,71251,2320188,2459548,304957,308229,319655,343471,335322,608922,619501,693854,588033,370501,211607,75684,37.700000,36.400000,39.100000,1883791,2.480000,229989,286707,382561,519995,45910,187487,1276440,3.020000,2171853,288062,1312589,571202,48753.000000,185.000000,3142958.000000,90.570000,51649.050000
"Mississippi","East South Central","MS",2844658,59.700000,2967297,62.200000,1754684,1098385,15030,25742,1187,81481,38162,34107,1441240,1526057,210956,205672,208248,224619,210894,387253,374947,416976,347325,214469,121579,44359,36.000000,34.500000,37.400000,1115768,2.580000,133519,160288,221598,285035,32415,140623,770266,3.110000,1274719,158951,777073,338695,41959.000000,273.000000,5530825.000000,116.230000,47675.310000
"Georgia","South Atlantic","GA",8186453,139.200000,9687653,164.700000,5787440,2950435,32151,314467,6799,853689,388872,207489,4729171,4958482,686785,695161,689684,709999,680080,1335560,1397540,1391252,1069557,606429,311783,113823,35.300000,34.100000,36.500000,3585584,2.630000,400041,509433,817559,897014,98253,386501,2457810,3.170000,4088801,503217,2354402,1231182,47846.000000,212.000000,4478168.000000,148.660000,58808.690000
"South Carolina","South Atlantic","SC",4012012,129.700000,4625364,149.500000,3060000,1290684,19524,59051,2706,235682,113464,79935,2250101,2375263,302297,295853,297286,328989,332494,592056,601292,659428,583795,369043,192114,70717,37.800000,36.300000,39.200000,1801181,2.490000,210915,266979,350288,499671,47116,185957,1216415,3.010000,2137683,336502,1248805,552376,25867.000000,189.000000,2151219.000000,90.950000,30941.680000
"Arkansas","West South Central","AR",2673400,50.300000,2915918,54.800000,2245229,449895,22248,36102,5863,186050,99571,57010,1431637,1484281,197689,196877,197559,203805,199650,375892,366208,407266,350991,234602,133977,51402,37.400000,36.100000,38.600000,1147084,2.470000,140429,170363,236647,331630,32152,104738,775811,3.000000,1316299,169215,768156,378928,49346.000000,281.000000,8432221.000000,152.170000,53178.770000
"Louisiana","West South Central","LA",4468976,95.500000,4533372,96.900000,2836192,1452396,30579,70132,1963,192560,69227,72883,2219292,2314080,314260,306362,306836,326779,338309,628433,564599,654375,535562,311994,180177,65686,35.800000,34.500000,37.100000,1728360,2.550000,216299,248035,337498,430700,54655,199272,1160118,3.100000,1964981,236621,1162299,566061,30106.000000,269.000000,4691344.000000,86.960000,46776.060000
"Florida","South Atlantic","FL",15982378,281.900000,18801310,331.600000,14109162,2999862,71458,454821,12286,4223806,681144,472577,9189355,9611955,1073506,1080255,1130847,1228382,1228758,2289545,2431254,2741493,2337668,1727940,1097537,434125,40.800000,39.300000,42.100000,7420802,2.480000,881965,1139816,1334972,2122177,203802,635028,4835475,3.010000,8989580,1568778,4998979,2421823,47463.000000,195.000000,2953340.000000,164.030000,56695.030000
"Michigan","East North Central","MI",9938444,171.000000,9883640,170.000000,7803120,1400362,62007,238199,2604,436358,147029,230319,4848114,5035526,596286,637784,675216,739599,669072,1164149,1277974,1510033,1251997,724709,444940,191881,38.800000,37.500000,40.000000,3872508,2.490000,483093,596585,773630,1083497,104539,328376,2554073,3.050000,4532233,659725,2793342,1079166,56014.000000,179.000000,7803643.000000,102.710000,58128.820000
"Alaska","Pacific","AK",626932,1.100000,710231,1.200000,473576,23263,104871,38135,7409,39249,11102,51875,369628,340603,53996,50887,50816,52141,54419,103125,92974,111026,85909,35350,14877,4711,33.900000,33.700000,34.100000,258058,2.650000,37714,28359,61869,65689,10237,20149,170750,3.210000,306967,48909,162765,95293,686.000000,1285.000000,86238.000000,83.120000,581369.170000
